#   age       Mc        Msh       logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    2.0000    0.5100    0.4544    1.5608    3.8316    8.0626    2.8637   11.4834    4.3640    0.3560    0.9095    0.0400    0.4300    0.0000
    2.0000    0.5200    0.4544    1.6002    3.7014    8.0625    2.3125   11.7632    4.3646    0.3560    0.9094    0.0400    0.4300    0.0000
    2.0000    0.5300    0.4544    1.6191    3.6691    8.0625    2.1725   11.8374    4.3647    0.3560    0.9095    0.0400    0.4300    0.0000
    2.0000    0.5400    0.4544    1.6319    3.6535    8.0624    2.1051   11.8751    4.3648    0.3560    0.9093    0.0400    0.4300    0.0000
    2.0000    0.5500    0.4544    1.6416    3.6443    8.0624    2.0669   11.8982    4.3651    0.3560    0.9097    0.0400    0.4300    0.0000
    2.0000    0.5750    0.4545    1.6596    3.6317    8.0624    2.0174   11.9325    4.3655    0.3560    0.9096    0.0400    0.4300    0.0000
    2.0000    0.7000    0.4548    1.7054    3.6123    8.0623    1.9796   11.9942    4.3661    0.3560    0.9097    0.0400    0.4300    0.0000
    2.0000    0.8000    0.4548    1.7285    3.6107    8.0622    2.0079   12.0091    4.3666    0.3560    0.9097    0.0400    0.4300    0.0000
    2.0000    0.9000    0.4550    1.7464    3.6116    8.0623    2.0453   12.0160    4.3668    0.3560    0.9097    0.0400    0.4300    0.0000
    2.0000    0.4400    0.4343    0.8741    4.3478    8.0567    5.5513   10.1075    4.4161    0.4590    0.8939    0.0600    0.7100    0.0000
    2.0000    0.4450    0.4340    0.8966    4.3208    8.0574    5.4256   10.1729    4.4095    0.4590    0.8937    0.0600    0.7100    0.0000
    2.0000    0.4550    0.4343    1.0569    4.2854    8.0587    5.1335   10.3237    4.4007    0.4590    0.8933    0.0600    0.7100    0.0000
    2.0000    0.4600    0.4345    1.3290    4.2530    8.0585    4.7367   10.5245    4.4023    0.4590    0.8934    0.0600    0.7100    0.0000
    2.0000    0.4700    0.4350    1.6550    4.0925    8.0609    3.7778   11.0086    4.4089    0.4590    0.8933    0.0600    0.7100    0.0000
    2.0000    0.4800    0.4353    1.7628    3.8908    8.0639    2.8724   11.4659    4.4134    0.4590    0.8929    0.0600    0.7100    0.0000
    2.0000    0.5000    0.4357    1.8267    3.6457    8.0643    1.8461   11.9879    4.4145    0.4590    0.8928    0.0600    0.7100    0.0000
    2.0000    0.5750    0.4360    1.8729    3.5984    8.0593    1.6710   12.1058    4.4091    0.4590    0.8922    0.0600    0.7100    0.0000
    2.0000    0.6000    0.4360    1.8783    3.5948    8.0601    1.6701   12.1156    4.4084    0.4590    0.8930    0.0600    0.7100    0.0000
    2.0000    0.6500    0.4362    1.8961    3.5906    8.0575    1.6701   12.1329    4.4090    0.4590    0.8937    0.0600    0.7100    0.0000
    2.0000    0.7000    0.4363    1.9056    3.5897    8.0574    1.6891   12.1395    4.4090    0.4590    0.8937    0.0600    0.7100    0.0000
#   age       Mc        Msh       logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    3.0000    0.4880    0.4857    1.1885    4.4468    8.0683    5.6780   10.0668    4.3199    0.2470    0.9312    0.0006   -1.4800    0.6000
    3.0000    0.4900    0.4867    1.1928    4.4311    8.0685    5.6126   10.1002    4.3184    0.2470    0.9304    0.0006   -1.4800    0.6000
    3.0000    0.4950    0.4880    1.2046    4.3939    8.0691    5.4567   10.1805    4.3137    0.2470    0.9290    0.0006   -1.4800    0.6000
    3.0000    0.5000    0.4852    1.2171    4.3665    8.0696    5.3389   10.2415    4.3096    0.2470    0.9279    0.0006   -1.4800    0.6000
    3.0000    0.5050    0.4853    1.2248    4.3432    8.0699    5.2423   10.2920    4.3062    0.2470    0.9278    0.0006   -1.4800    0.6000
    3.0000    0.5100    0.4852    1.2348    4.3231    8.0703    5.1562   10.3371    4.3029    0.2470    0.9273    0.0006   -1.4800    0.6000
    3.0000    0.5200    0.4852    1.2573    4.2869    8.0710    4.9971   10.4209    4.2971    0.2470    0.9262    0.0006   -1.4800    0.6000
    3.0000    0.5300    0.4852    1.2830    4.2578    8.0716    4.8632   10.4920    4.2925    0.2470    0.9252    0.0006   -1.4800    0.6000
    3.0000    0.5400    0.4852    1.3167    4.2284    8.0721    4.7202   10.5675    4.2889    0.2470    0.9246    0.0006   -1.4800    0.6000
    3.0000    0.5600    0.4852    1.4275    4.1559    8.0723    4.3354   10.7679    4.2865    0.2470    0.9240    0.0006   -1.4800    0.6000
    3.0000    0.5900    0.4852    1.5734    4.0109    8.0721    3.6320   11.1308    4.2883    0.2470    0.9245    0.0006   -1.4800    0.6000
    3.0000    0.6100    0.4864    1.6302    3.9087    8.0720    3.1807   11.3638    4.2891    0.2470    0.9241    0.0006   -1.4800    0.6000
    3.0000    0.6300    0.4867    1.6674    3.8086    8.0720    2.7573   11.5825    4.2899    0.2470    0.9240    0.0006   -1.4800    0.6000
    3.0000    0.6500    0.4865    1.6931    3.7447    8.0719    2.4892   11.7233    4.2905    0.2470    0.9243    0.0006   -1.4800    0.6000
    3.0000    0.7000    0.4868    1.7314    3.7169    8.0717    2.3723   11.7978    4.2912    0.2470    0.9241    0.0006   -1.4800    0.6000
    3.0000    0.7800    0.4869    1.7670    3.7061    8.0717    2.3404   11.8373    4.2920    0.2470    0.9240    0.0006   -1.4800    0.6000
    3.0000    0.9000    0.4865    1.8029    3.7012    8.0716    2.3469   11.8651    4.2931    0.2470    0.9246    0.0006   -1.4800    0.6000
    3.0000    0.4980    0.4957    1.2301    4.4647    8.0703    5.7168   10.0516    4.3028    0.2450    0.9286    0.0001   -2.2600    0.5000
    3.0000    0.5000    0.4970    1.2349    4.4445    8.0705    5.6331   10.0944    4.3008    0.2450    0.9285    0.0001   -2.2600    0.5000
    3.0000    0.5050    0.4983    1.2457    4.4091    8.0711    5.4849   10.1707    4.2963    0.2450    0.9279    0.0001   -2.2600    0.5000
    3.0000    0.5100    0.4957    1.2559    4.3826    8.0716    5.3732   10.2286    4.2925    0.2450    0.9271    0.0001   -2.2600    0.5000
    3.0000    0.5150    0.4956    1.2657    4.3609    8.0719    5.2805   10.2771    4.2890    0.2450    0.9263    0.0001   -2.2600    0.5000
    3.0000    0.5200    0.4957    1.2752    4.3419    8.0724    5.1993   10.3198    4.2859    0.2450    0.9258    0.0001   -2.2600    0.5000
    3.0000    0.5300    0.4957    1.2944    4.3094    8.0730    5.0581   10.3945    4.2803    0.2450    0.9245    0.0001   -2.2600    0.5000
    3.0000    0.5400    0.4957    1.3121    4.2832    8.0735    4.9439   10.4556    4.2757    0.2450    0.9243    0.0001   -2.2600    0.5000
    3.0000    0.5600    0.4957    1.3560    4.2347    8.0744    4.7218   10.5747    4.2684    0.2450    0.9230    0.0001   -2.2600    0.5000
    3.0000    0.5800    0.4957    1.4093    4.1890    8.0750    4.5010   10.6926    4.2636    0.2450    0.9220    0.0001   -2.2600    0.5000
    3.0000    0.6000    0.4957    1.4674    4.1415    8.0753    4.2677   10.8167    4.2611    0.2450    0.9212    0.0001   -2.2600    0.5000
    3.0000    0.6400    0.4957    1.5695    4.0412    8.0754    3.7920   11.0685    4.2602    0.2450    0.9213    0.0001   -2.2600    0.5000
    3.0000    0.7200    0.4957    1.6896    3.8602    8.0752    2.9993   11.4905    4.2619    0.2450    0.9213    0.0001   -2.2600    0.5000
    3.0000    0.7800    0.4957    1.7408    3.7625    8.0750    2.5921   11.7114    4.2631    0.2450    0.9219    0.0001   -2.2600    0.5000
    3.0000    0.9000    0.4957    1.8065    3.7273    8.0747    2.4478   11.8147    4.2649    0.2450    0.9226    0.0001   -2.2600    0.5000
    3.0000    0.4780    0.4758    1.1377    4.4232    8.0662    5.6255   10.0884    4.3382    0.2570    0.9273    0.0060   -0.4700    0.2300
    3.0000    0.4800    0.4770    1.1399    4.3998    8.0658    5.5317   10.1363    4.3361    0.2570    0.9400    0.0060   -0.4700    0.2300
    3.0000    0.4850    0.4757    1.1521    4.3583    8.0664    5.3576   10.2256    4.3313    0.2570    0.9391    0.0060   -0.4700    0.2300
    3.0000    0.4900    0.4757    1.1657    4.3264    8.0674    5.2209   10.2961    4.3273    0.2570    0.9261    0.0060   -0.4700    0.2300
    3.0000    0.4950    0.4757    1.1766    4.2998    8.0679    5.1080   10.3547    4.3236    0.2570    0.9251    0.0060   -0.4700    0.2300
    3.0000    0.5000    0.4757    1.1883    4.2762    8.0682    5.0066   10.4076    4.3204    0.2570    0.9244    0.0060   -0.4700    0.2300
    3.0000    0.5100    0.4757    1.2152    4.2364    8.0690    4.8289   10.5008    4.3150    0.2570    0.9234    0.0060   -0.4700    0.2300
    3.0000    0.5200    0.4757    1.2686    4.1933    8.0693    4.6115   10.6137    4.3112    0.2570    0.9229    0.0060   -0.4700    0.2300
    3.0000    0.5300    0.4757    1.3621    4.1317    8.0694    4.2799   10.7837    4.3104    0.2570    0.9223    0.0060   -0.4700    0.2300
    3.0000    0.5400    0.4757    1.4514    4.0559    8.0694    3.8957   10.9798    4.3112    0.2570    0.9228    0.0060   -0.4700    0.2300
