#   age       Mtot      Mc        Menv      Mini      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
   10.0000    0.5783    0.4690    0.1093    0.8783    2.8879    3.5128    8.0638    0.3165   12.7843    5.9350    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6783    0.4690    0.2093    0.8783    2.7771    3.5202    8.0901    0.5256   12.7143    5.8833    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5793    0.4690    0.1103    0.8793    2.9059    3.5105    8.0618    0.2899   12.7980    5.9442    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6793    0.4690    0.2103    0.8793    2.7822    3.5196    8.0896    0.5187   12.7180    5.8858    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5803    0.4690    0.1113    0.8803    2.4872    3.5600    8.1091    0.9073   12.4896    5.7156    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6803    0.4690    0.2113    0.8803    2.7873    3.5190    8.0890    0.5118   12.7218    5.8883    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5812    0.4690    0.1122    0.8812    2.4951    3.5589    8.1084    0.8958   12.4957    5.7202    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6813    0.4690    0.2123    0.8813    2.7924    3.5184    8.0885    0.5049   12.7255    5.8908    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5822    0.4690    0.1132    0.8822    2.5031    3.5579    8.1077    0.8843   12.5018    5.7247    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6823    0.4690    0.2133    0.8823    2.7975    3.5177    8.0880    0.4980   12.7293    5.8934    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5832    0.4690    0.1142    0.8832    2.5110    3.5568    8.1070    0.8728   12.5079    5.7293    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6832    0.4690    0.2142    0.8832    2.8026    3.5171    8.0875    0.4912   12.7331    5.8959    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5842    0.4690    0.1152    0.8842    2.5190    3.5558    8.1063    0.8613   12.5140    5.7339    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6842    0.4690    0.2152    0.8842    2.8077    3.5165    8.0870    0.4843   12.7368    5.8984    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5852    0.4690    0.1162    0.8852    2.5270    3.5547    8.1056    0.8498   12.5201    5.7385    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6852    0.4690    0.2162    0.8852    2.8128    3.5159    8.0865    0.4774   12.7406    5.9009    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5861    0.4690    0.1171    0.8861    2.5349    3.5536    8.1049    0.8383   12.5262    5.7431    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.6862    0.4690    0.2172    0.8862    2.8179    3.5153    8.0859    0.4705   12.7443    5.9034    0.2880    0.0000    0.0169    0.0000    0.0000
   10.0000    0.5871    0.4690    0.1181    0.8871    2.5429    3.5526    8.1042    0.8268   12.5323    5.7477    0.2880    0.0000    0.0169    0.0000    0.0000
